
VillainService.Register -> Villain[0, ]
PlayerService.Register -> Player[1, 0, ]
Game.Start
Player.InitIdentity -> Player[1, 0, 46242446-e278-4e2f-a19e-7add0ff25afa]
Card.SetOwner -> Card[Captain Marvel, , LocationEnum[5/Battlefield]]
Card.SetOwner -> Card[Spider-Woman, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Crisis Interdiction, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Crisis Interdiction, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Crisis Interdiction, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Photonic Blast, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Photonic Blast, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Energy Absorption, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Energy Absorption, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Alpha Flight Station, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Captain Marvel's Helmet, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Cosmic Flight, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Cosmic Flight, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Energy Channel, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Energy Channel, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Family Emergency, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[The Psych-Magnitron, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Yon-Rogg, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Kree Manipulator, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Kree Manipulator, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Yon-Rogg's Treason, , LocationEnum[2/Deck]]
Player.InitLife -> Player[1, 12, 46242446-e278-4e2f-a19e-7add0ff25afa]
PlayerService.SetFirst -> Player[1, 12, 46242446-e278-4e2f-a19e-7add0ff25afa]
